size,mflop
31,6028.83
32,6764.15
96,6355.24
97,6978.39
127,6369.87
128,6343.64
129,6739.06
191,6394.54
192,6300.26
229,6426.75
255,6286.37
256,6210.52
257,6526
319,6031.65
320,6068.13
321,6325.98
417,6147.47
479,6000.67
480,5688.53
511,5982.69
512,5791.08
639,5939.23
640,5746.18
767,5823.41
768,5597.41
769,5870.31
1023,5842.48
1024,5478.58
1025,5846.9
1525,5756.53
1526,6217.88
1527,5625.1
