size,mflop
31,3865.76
32,4167.38
96,4462.05
97,4121.9
127,4158.65
128,4538.61
129,4166.6
191,3746.05
192,4009.87
229,3718.87
255,3655.4
256,4141.35
257,3739.78
319,3798.91
320,4208.18
321,3874.82
417,3875.19
479,3927.86
480,4458.13
511,3837.14
512,4654.3
639,4108.42
640,4611.91
767,4115.22
768,4758.99
769,4163.01
1023,3815.03
1024,4671.72
1025,3992.93
1525,2482.41
1526,2750.35
1527,2459.62
