size,mflop
31,5783.54
32,8387.62
96,8225.56
97,7680.39
127,7031.36
128,7047.38
129,7507.44
191,7587.9
192,7943.42
229,7724.74
255,6241.47
256,5656.7
257,6298.58
319,7693.98
320,7692.45
321,7821.64
417,7757.93
479,7710.58
480,7712.57
511,5761.47
512,4931.15
639,6954.26
640,6090.11
767,5951.82
768,5257.82
769,6203.18
1023,5735.17
1024,4909.11
1025,5742.72
1525,7187.15
1526,7455.29
1527,7164.08
