size,mflop
31,13225.4
32,16539.5
96,24570.8
97,23846.2
127,24744.3
128,26904.8
129,25121.3
191,27023.3
192,28325.9
229,27463.4
255,27794.7
256,29115.7
257,28314
319,27878.1
320,28689.9
321,28256.6
417,28996.8
479,28452.7
480,29701.5
511,27653.9
512,26038.4
639,23993.8
640,26844.2
767,28787.5
768,27383.1
769,21123.4
1023,29925.7
1024,30191.1
1025,28702
1525,31047.2
1526,30528.3
1527,30640.3
