size,mflop
31,1530.12
32,1685.82
96,5595.77
97,5747.54
127,12715.1
128,13000.9
129,4011.92
191,12433
192,12933.4
229,9140.52
255,12684.3
256,12794.2
257,6622.72
319,12403.5
320,12495.9
321,7324.89
417,9872.19
479,9655.03
480,9550.55
511,11155.5
512,11403.6
639,11303
640,11156.5
767,11150.6
768,11150.8
769,8965.62
1023,11251.3
1024,11183.5
1025,9468.94
1525,10904
1526,11119
1527,11028.5
