size,mflop
31,4663.56
32,6867.93
96,6686.39
97,6567.14
127,6293.06
128,6234.44
129,6612.18
191,6561.39
192,6510.67
229,6490.47
255,6445.15
256,4836.28
257,6482.44
319,6534.89
320,6291.68
321,6645.31
417,6656.79
479,6642.14
480,6422.68
511,5047.76
512,3666.13
639,6697.74
640,5854.38
767,6512.98
768,4245.26
769,6480.54
1023,4899.91
1024,3602.6
1025,5061.38
1525,6673.34
1526,7073.3
1527,6636.76
