size,mflop
31,2102.04
32,2100.99
96,1733.68
97,1741.65
127,1620.99
128,1552.03
129,1592.74
191,1436.05
192,1421.9
229,1375.83
255,1343.38
256,1272.49
257,1378.61
319,1334.11
320,1283.1
321,1325.66
417,1291.54
479,1293.12
480,1295.53
511,1291.44
512,523.535
639,1290.36
640,1292.94
767,1261.97
768,531.426
769,1271.8
1023,1203.52
1024,463.164
1025,1194
1525,1165.87
1526,1174.59
1527,1176
