size,mflop
31,2257.18
32,2290.93
96,2287.09
97,2230.83
127,2292.32
128,2217.57
129,2197.98
191,2288.19
192,2214.32
229,2193.15
255,2179.87
256,1939.2
257,2198.71
319,2178.22
320,2154.47
321,2171.34
417,2168.95
479,2209.93
480,2236.46
511,2057
512,1398.2
639,2183.47
640,2110.42
767,2192.32
768,1904.21
769,2189.84
1023,2080.98
1024,1378.54
1025,2081.2
1525,2223.17
1526,2262.47
1527,2222.71
